rag_place_id,local_image_count,primary_candidate,image_files,total_size_bytes
QN_0081,4,data/image_pipeline/downloaded/optimized/QN_0081/QN_0081_01.webp,data/image_pipeline/downloaded/optimized/QN_0081/QN_0081_01.webp|data/image_pipeline/downloaded/optimized/QN_0081/QN_0081_02.webp|data/image_pipeline/downloaded/optimized/QN_0081/QN_0081_03.webp|data/image_pipeline/downloaded/optimized/QN_0081/QN_0081_05.webp,558018
QN_0124,1,data/image_pipeline/downloaded/optimized/QN_0124/QN_0124_01.webp,data/image_pipeline/downloaded/optimized/QN_0124/QN_0124_01.webp,342872
QNAM_0001,3,data/image_pipeline/downloaded/optimized/QNAM_0001/QNAM_0001_01.webp,data/image_pipeline/downloaded/optimized/QNAM_0001/QNAM_0001_01.webp|data/image_pipeline/downloaded/optimized/QNAM_0001/QNAM_0001_02.webp|data/image_pipeline/downloaded/optimized/QNAM_0001/QNAM_0001_03.webp,650264
QNAM_0002,1,data/image_pipeline/downloaded/optimized/QNAM_0002/QNAM_0002_01.webp,data/image_pipeline/downloaded/optimized/QNAM_0002/QNAM_0002_01.webp,98414
QNAM_0018,5,data/image_pipeline/downloaded/optimized/QNAM_0018/QNAM_0018_01.webp,data/image_pipeline/downloaded/optimized/QNAM_0018/QNAM_0018_01.webp|data/image_pipeline/downloaded/optimized/QNAM_0018/QNAM_0018_02.webp|data/image_pipeline/downloaded/optimized/QNAM_0018/QNAM_0018_03.webp|data/image_pipeline/downloaded/optimized/QNAM_0018/QNAM_0018_04.webp|data/image_pipeline/downloaded/optimized/QNAM_0018/QNAM_0018_05.webp,1064358
QNAM_0027,3,data/image_pipeline/downloaded/optimized/QNAM_0027/QNAM_0027_01.webp,data/image_pipeline/downloaded/optimized/QNAM_0027/QNAM_0027_01.webp|data/image_pipeline/downloaded/optimized/QNAM_0027/QNAM_0027_02.webp|data/image_pipeline/downloaded/optimized/QNAM_0027/QNAM_0027_03.webp,410116
QNAM_0035,1,data/image_pipeline/downloaded/optimized/QNAM_0035/QNAM_0035_01.webp,data/image_pipeline/downloaded/optimized/QNAM_0035/QNAM_0035_01.webp,201788
QNG_0001,1,data/image_pipeline/downloaded/optimized/QNG_0001/QNG_0001_01.webp,data/image_pipeline/downloaded/optimized/QNG_0001/QNG_0001_01.webp,132792
SL_0001,5,data/image_pipeline/downloaded/optimized/SL_0001/SL_0001_01.webp,data/image_pipeline/downloaded/optimized/SL_0001/SL_0001_01.webp|data/image_pipeline/downloaded/optimized/SL_0001/SL_0001_02.webp|data/image_pipeline/downloaded/optimized/SL_0001/SL_0001_03.webp|data/image_pipeline/downloaded/optimized/SL_0001/SL_0001_04.webp|data/image_pipeline/downloaded/optimized/SL_0001/SL_0001_05.webp,640362
SL_0031,3,data/image_pipeline/downloaded/optimized/SL_0031/SL_0031_01.webp,data/image_pipeline/downloaded/optimized/SL_0031/SL_0031_01.webp|data/image_pipeline/downloaded/optimized/SL_0031/SL_0031_02.webp|data/image_pipeline/downloaded/optimized/SL_0031/SL_0031_03.webp,131164
